prb_id,asn_v4,city
10007,7922,Napa County
10016,33915,Amstelveen
10022,206238,Roermond
10048,60377,Southampton
10052,13246,Oberbayern
10059,12389,Ivanovsky District
10068,34594,Grad Zadar
10076,57670,Dnipropetrovs'ka oblast
10087,196890,Kielce
10099,7018,Fulton County
10100,15669,Sofia City Province
10113,5379,Centar
10134,13037,Greater London
10141,3303,Bern-Mittelland District
10146,7922,Norfolk County
10152,8661,Kukës District
10176,21246,Fushë Arrës
10179,12552,Stockholm County
10194,7922,DuPage County
10203,36924,Lome Commune
10214,60294,Saarland
10231,1136,Eindhoven
1006167,35807,Sankt-Peterburg
10237,35699,Barcelona
10243,37084,Kinondoni
10251,12611,Oberpfalz
10273,1136,Alphen aan Den Rijn
10274,52207,Gorod Tula
10281,3209,Middle Franconia
10286,7922,Greene County
10293,8489,Darmstadt
50885,10242,Hennepin County
10305,30640,Santa Clara County
10312,11426,Guilford County
10322,7922,Plymouth County
10334,397377,Boulder County
10338,12083,Wayne County
10342,20055,Latah County
10350,7922,Hanover County
10355,7922,Delaware County
10356,7922,Cape May County
10357,701,Kent County
10377,11351,Madison County
10378,701,Loudoun County
10390,20115,Clinton County
10402,701,Worcester County
10403,5739,Santa Cruz County
10423,397005,Fluvanna County
10441,852,Strathcona County
10443,13977,Chittenden County
10444,33361,Toronto
10445,4922,Shenandoah County
10456,22773,Maricopa County
10458,5650,Lackawanna County
10478,11427,Dallas County
10491,7922,Philadelphia County
10498,31775,Erie County
10501,1273,Greater London
10502,1273,Darmstadt
10506,1273,District of Columbia
10507,1273,Sedgwick County
10515,7922,Palm Beach County
10517,12083,Oakland County
10543,209,Lake County
10545,7922,Will County
10553,7922,Fairfield County
10554,7922,Kent County
10562,701,Gloucester County
10576,7922,Prince William County
10584,7922,Berks County
10611,50266,Hilversum
10615,6830,Government of Amsterdam
10620,5378,Edinburgh
10626,7922,El Paso County
10633,215733,County Carlow
10638,1741,Kajaani
10644,1741,Lappeenranta
10646,51319,Helsinki
10647,57728,Liberec
10654,8881,Arnsberg
10658,17705,Wellington
10661,22047,Santiago
10664,8339,Waidhofen an der Thaya
10688,1741,Pohjois-Lappi
10693,7922,Rutland County
10694,701,Fairfax County
10704,7018,Brevard County
10718,49800,Syunik Province
10725,207044,County Limerick
10734,29124,Krasnogorsky District
10735,8676,East Sussex
10760,47490,County Westmeath
10770,13030,Uster
10782,1136,Westervoort
10790,7018,El Paso County
10795,1136,Gooise Meren
10797,200271,Seine-Saint-Denis
10806,2611,Antwerp
10813,15502,County Cork
10814,237,Washtenaw County
10816,12322,Yvelines
10836,13287,Valencia
10885,6805,Niederbayern
10890,33915,Amsterdam
10895,15744,Gliwice
10905,209,Pima County
10920,3320,Schwaben
10924,197075,Provincia di Viterbo
10928,13030,Bülach
10933,4764,Baw Baw Shire
10940,13285,Leicester
10951,1136,Bodegraven-Reeuwijk
10969,7018,Caldwell County
10972,47702,Dobrovelychkivs'kyi district
10977,10075,Dhaka District
10982,5769,Montérégie
10984,1103,Diemen
10986,1103,Amsterdam
10997,206238,Nieuwegein
11012,50929,Viciebski rajon
11013,50448,Moscow
11018,557,Penobscot County
11036,2856,Suffolk
11063,38984,Moskva
11079,8402,Lyuberetsky District
11081,15774,Gorod Ryazan'
11116,15493,Gorod Tyumen'
11118,6661,Capellen
11124,3352,Santa Cruz de Tenerife
11125,12991,Linz
11135,15763,Arnsberg
11145,13037,West Yorkshire
11149,31349,Liberec
11151,12990,Kraków
11153,22684,Ottawa
11168,6871,Greater Manchester
11171,7018,Monmouth County
11172,4771,Waikato
11179,5089,Greater London
11185,680,Sachsen
11202,44776,Bülach District
11209,32881,Ottawa
11210,3209,Brandenburg
11215,10745,Loudoun County
11218,7514,Kanagawa
11226,6720,Wien
11240,42685,Wien
11244,1113,Graz
11254,1853,Graz
11255,31662,Bezirk Surselva
11256,51090,Yerevan
18363,5466,County Dublin
11268,12322,Indre-et-Loire
11272,9031,Oost-Vlaanderen
11280,201838,Greater London
53267,6805,Köln
11292,17676,Tokyo
11297,7514,Hiroshima
11320,31133,City of Sochi
11337,43966,Gatchinsky District
11361,48670,Sankt-Peterburg
11367,5432,Vlaams-Brabant
16565,43205,Sofia City Province
11400,8758,Sankt Gallen
11433,13036,Hlavní město Praha
11434,9031,Vlaams-Brabant
11447,210302,Harju maakond
11448,28917,Moskva
11461,60382,Surrey
11472,3301,Uppsala län
11473,41302,Gorod Velikiye Luki
11491,33835,Seine-Maritime
11497,42707,Helmond
11499,6848,West-Vlaanderen
11500,7922,Cumberland County
11506,1403,Montréal
11513,7018,Washtenaw County
11518,60590,Yambol
11633,6848,Vlaams-Brabant
11529,30600,Greene County
11918,7922,Contra Costa County
11539,9367,Tokyo
11558,31169,Luster
11560,39216,Sulaymaniyah
11563,199588,County Dublin
1006218,6848,Oost-Vlaanderen
11583,57084,Skåne län
11586,50718,Südoststeiermark
11595,34743,Kyiv City
11600,30892,Barcelona
11608,206238,Almere
11616,36692,Darmstadt
11621,58308,Val-de-Marne
11632,12322,Loire-Atlantique
11663,9031,Antwerpen
11688,60409,Provincia di Terni
11698,1103,Utrecht
11708,198068,Ida-Viru maakond
11713,206238,Nijmegen
11717,35833,Berlin
11722,3215,Isère
11743,212865,Baden
13533,61400,Moskva
13538,1136,Deventer
13561,7018,Santa Clara County
13585,36692,Santa Clara County
13593,2108,Grad Varaždin
16971,12322,Seine-Saint-Denis
13615,5432,Oost-Vlaanderen
13642,9790,Auckland
13649,206238,Hillegom
13656,12392,Liège
13659,43989,Provincia di Ferrara
13667,7922,Monroe County
13671,7922,Lane County
13691,9534,Federal Territory of Kuala Lumpur
13717,7018,Coweta County
52108,13490,Lucas County
52114,209864,Orange County
13725,37100,Cidade de Maputo
25606,16097,Sachsen-Anhalt
25714,8447,Weiz
25717,21309,Metropolitan City of Bologna
25723,6730,Laufenburg
25757,29086,Brno-město
25785,50825,Praha-východ
25838,1680,Rehovot
25860,4,Los Angeles County
25953,7753,Hennepin County
25965,3212,Upravna enota Maribor
25967,5603,Murska Sobota
25981,30722,Provincia di Novara
25983,12119,Champaign County
26028,33915,Alblasserdam
26036,209,Washington County
26056,6327,Whatcom County
26065,202616,Wien
26083,50266,Lansingerland
26092,1759,Helsinki
26113,47697,Sofia City Province
1000011,4,Arlington County
13741,9930,Selangor
13745,6848,Flemish Brabant
13759,12322,Meurthe-et-Moselle
22450,13092,Grad Beograd
13808,12576,Nottinghamshire
13816,8816,Città Metropolitana di Milano
13819,2497,Fukuoka
13821,63771,Kanagawa
13822,2514,Ishikawa
13826,7922,Santa Cruz County
13833,46562,Fulton County
13870,15630,Madrid
13892,6848,Bruxelles
13896,766,Valencia
13911,206610,Lëtzebuerg
13934,20769,Ouder-Amstel
13946,812,Regional Municipality of York
13975,201533,Beroun
14038,20766,Val-de-Marne
14039,3215,Yvelines
14051,2856,South Lanarkshire
14053,5650,Pinellas County
14064,10796,Warren County
14065,28573,Governador Valadares
14080,7522,Ehime
26232,33915,Den Haag
14134,30722,Provincia di Ancona
14136,16347,Calvados
14154,29518,Stockholms län
14164,7922,Spokane County
14199,2514,Kanagawa
14207,13285,Scotland
14213,39326,Cheshire West and Chester
14267,8468,Berkshire
14274,13037,Berkshire
14277,701,Kings County
52141,2856,England
14310,6407,Ottawa
14311,12322,Vendée
14322,577,Prince Edward County
14351,20712,Surrey
14352,2527,Tokyo
14377,8220,Berlin
14385,5769,Montréal
14387,44417,Tomsk
14390,131937,Niigata
14391,6871,Devon
14468,5089,Greater Manchester
14473,9790,Otago
14521,43341,Sachsen-Anhalt
14531,5089,Buckinghamshire
14546,46293,Allegan County
14548,786,Oxfordshire
14595,15943,Hamburg
14598,20676,Giessen
14606,20001,Maui County
14616,206238,Eindhoven
14627,20712,Cornwall
14629,11478,Montréal
14651,28792,Greater London
14676,206238,Gooise Meren
54474,5432,Bruxelles
14680,28884,Barnaul
14691,37611,City of Tshwane Metropolitan Municipality
14698,4764,Huon Valley Council
14699,20626,Gävleborgs län
14716,5089,Kent
14720,6360,Honolulu County
53580,5410,Côte-d'Or
14740,12322,Seine-et-Marne
14761,2856,Cambridgeshire
14765,50266,Enschede
14768,1267,Città metropolitana di Roma Capitale
14769,12874,Città metropolitana di Roma Capitale
14778,4764,Macedon Ranges Shire
14779,19171,Metro Vancouver
14782,12430,Madrid
14783,577,Chatham-Kent
14785,13280,County Dublin
14798,36194,Santa Clara County
14829,12346,Lublin
14832,59125,Kanagawa
14843,2514,Chiba
14875,29007,Płock
14895,24637,Münster
14909,12324,Lublin
14934,210874,West Sussex
17825,42908,Beroun
15038,22773,Douglas County
15044,50266,Vijfheerenlanden
15051,60713,Toruń
15053,11814,Waterloo Regional Municipality
15061,30600,McLean County
15072,5645,Metro Vancouver
15086,20115,Ottawa County
15094,13037,County Durham
15098,51569,Provincia di Varese
15102,4764,City of Campbelltown
15104,52177,Stockholms län
15106,5645,Chatham-Kent
15133,7922,Washington County
15138,29695,Bergen
15145,209,Clackamas County
15159,12874,Provincia di Potenza
15234,196750,Sankt-Peterburg
15238,327831,Djiboutii
15253,52314,Junín
15257,61044,Oss
16323,51873,Luzern-Stadt District
15324,6848,West Flanders
15364,1136,Heerenveen
15387,701,New York County
15407,12620,Locarno
15444,16086,Turku
15464,35485,Provincia di Cremona
15594,48139,Schleswig-Holstein
15618,3352,Alicante
15632,3352,Barcelona
15634,12290,Greater London
15683,16591,Jackson County
62519,3215,Seine-Maritime
15701,17676,Aichi
15718,701,Onondaga County
15753,1136,Westerveld
15760,11351,Penobscot County
15772,47215,Darmstadt
15789,21021,Powiat Toruń
15792,12741,Powiat toruński
15793,206238,Pijnacker-Nootdorp
15801,3215,Essonne
15809,8422,Cologne
6941,199938,Hamburg
15817,2611,Bruxelles
15831,206924,Greater London
15838,1273,England
15849,20764,Chudovsky District
15861,43708,Brno-venkov
15873,200434,Barcelona
15877,27699,São Paulo
15887,52,Los Angeles County
15943,20764,Sankt-Peterburg
15958,20001,Los Angeles County
15961,15088,Auglaize County
15968,20764,Klinsky District
15979,11492,Ada County
15988,39542,Loire-Atlantique
15992,6057,Miami-Dade County
16012,5607,Suffolk
16031,2856,Nottinghamshire
16033,5378,East Ayrshire Council
16087,13189,Uppsala län
16124,48154,Sachsen-Anhalt
16137,6730,Horgen District
16146,12322,Essonne
16154,2856,Gloucestershire
16155,53859,San Mateo County
16163,23473,Vermilion County
1004017,29580,Sofia City Province
16274,207176,Pijnacker-Nootdorp
16284,51088,Hollands Kroon
16298,12414,Kampen
16302,5617,Powiat lubelski
16336,5603,Ljubljana
16354,8717,Sofia City Province
16377,8866,Sofiyska oblast
16380,25513,Khimki
16441,327750,Gert Sibande District Municipality
16601,15958,Grad Beograd
16603,13194,Vilniaus apskritis
16605,60304,Tirana
16607,1270,Arnsberg
16657,197083,Ostrava-město
1004776,44489,České Budějovice
16715,5610,Hlavní město Praha
